software,model,mean_ess,mean_ess_sec,mean_rhat
Stan,01_mult_dose,1929.6117929929655,3.573124492449981,1.0053555008944488
Stan,02_mult_dose,1512.6595265165747,2.25323749127962,1.0495723919543152
Stan,03_mult_dose,1741.9131093444455,1.7786456682236795,1.0059575271626922
Stan,05,2218.0836506440137,0.0413775009754613,1.0016006320934576
NONMEM,01_mult_dose,2123.8548944632457,5.0138680539308105,1.0049709830589841
NONMEM,02_mult_dose,2870.725845842101,6.070166152156267,1.0010244768767766
NONMEM,03_mult_dose,1066.8304635607813,1.2959305002455035,1.0408274181211037
NONMEM,05,1006.0731821034617,0.14574923187731775,1.0125739712730797
Pumas,01_mult_dose,1916.9055192391656,0.15417822708864531,1.00544218228618
Pumas,02_mult_dose,1894.790487562473,0.09058635823075203,1.0050144968135915
Pumas,03_mult_dose,1509.1938139829422,0.458586538820639,1.0629856522299594
Pumas,05,2059.126129842868,0.05024148770296999,1.0018057408589232
