parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
TVCL,4.012141166623737,0.48303206913190716,0.0176935953007432,1244.3280449661202,1313.4636959266802,1.009599126872,0.04969600041414198
TVVC,50.973630229437845,7.645150632750996,0.6073893651747323,275.0622422314059,196.17176000352688,1.0195885430964862,0.01120073184238413
TVQ,4.379427619650383,1.0676446304155167,0.07496046644702556,251.4389993682828,316.68086217606105,1.0196687355242378,0.010185552992951912
TVVP,48.55586272533133,7.010060448232783,0.49602316938427754,314.2554536681306,254.72396137253932,1.0229726379027784,0.012655914652790737
TVKA,0.7783252153768688,0.14736314443284998,0.010504473930266572,275.0872963470711,206.61835064439478,1.0182645610703205,0.011166100269939205
TVMTT,116.88557494746708,15.90978739500116,0.5463982959044476,784.1067362520162,1166.0516215287967,1.0083619586414454,0.03128304243475883
TVCIRC0,5.002559009849818,0.5760604574679137,0.017150986401903445,1215.6388137388478,1426.5550198543265,1.006142164933921,0.04866163054363779
TVGAMMA,0.135868290260845,0.03959657568796114,0.00173429447633307,593.3931185731661,750.6963958999283,1.01228048529832,0.02347150203943098
TVALPHA,0.000331929270300692,6.012985630757077e-5,2.266384008975677e-6,776.8561469111683,1084.8656445914444,1.0085159555309575,0.03100679209027995
σ,0.037582247214999996,0.0025812138602187406,6.688983874144539e-5,1589.4330827388633,1810.4943292913056,1.0070248132813615,0.06354757078059194
σ_pd,0.045141508884999994,0.003580885437969885,9.595739414803488e-5,1628.8887401779675,2604.5167558993976,1.006441074310663,0.06463138727333491
ωCL,0.40828439000070543,0.09670018437391303,0.0035705022706015777,937.6017243270808,1251.6127206671313,1.0096186587151974,0.038112898437746054
ωVC,0.2236878558160927,0.08640612634788178,0.003167894767000627,762.4030340036062,1046.1365978297777,1.0082265016215561,0.030420102785360288
ωQ,0.1929223052345005,0.11686138439568261,0.008392988536827208,298.58360890355385,318.6708613823078,1.0275521951109972,0.011861713508051458
ωVP,0.25697638812861157,0.10418960930220347,0.004571497057574659,871.8091633385395,1091.1941035898662,1.0092896152838993,0.03456990973992082
ωKA,0.2728151121140606,0.12248714094237316,0.006761841051163189,573.3627578846819,873.5967156829744,1.0152804068001133,0.02327041459073729
ωMTT,0.2937053955451444,0.1437421391882681,0.006634675353136418,433.0579909844581,506.0932690993176,1.0110866419548397,0.017407403039209263
ωCIRC0,0.3873362561697233,0.09261058270121644,0.002776014197222052,1268.4465621458062,1953.32824549122,1.0059823561773238,0.05067285818675835
ωGAMMA,0.6412226192908453,0.243197374272004,0.013672076007322214,487.11750513239895,821.1556992799972,1.014661897837997,0.019719918278368408
ωALPHA,0.45285236337774853,0.15362384293147255,0.007072642796752597,580.1601657226425,1128.8370318582288,1.0116695848575037,0.022945559745297682
