parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
TVCL,4.121312002867767,0.11562581046368378,0.006517454050640586,998.1281392788599,1479.8648721635577,1.0212912714849456,0.3254658483750139
TVVC,73.76445417355947,2.7318737096287053,0.12047535579698523,541.0593588261555,1461.0192249651523,1.0328522460648812,0.18259905063151802
TVQ,3.594710795647738,0.3672007273834459,0.032353302864820896,137.44886208257486,375.63507077937265,1.0419290282621267,0.04704253368574949
TVVP,47.88583855527169,2.2060852985722588,0.1529730556602349,300.2931042485051,877.9301046900262,1.0267809346666934,0.10095506650651356
TVKA,1.0887178075137018,0.04883213163410483,0.004223381405705667,307.06792139462044,828.1200496199838,1.0561982966102836,0.10345444853577661
σ,0.039530686885000006,0.0008993637119231367,7.187081188540632e-5,1064.0772956174678,1260.1647606765719,1.0690852132683613,0.36660910738164076
ωCL,0.09576998057000001,0.012751228251395736,0.00044549379562689275,1321.8163303214792,1886.3787122339443,1.022458153935478,0.43703024651675093
ωVC,0.11723136401,0.019204064898716896,0.001147695634439508,721.8663456879706,2003.7291380872557,1.0269980754003956,0.24319884820834758
ωQ,0.048836787668,0.038654941859167444,0.005012888257568865,43.61698478660587,105.55955115534371,1.1002550569410936,0.014911947498479221
ωVP,0.093445068805,0.023453464400612318,0.0014733052458041538,318.9947516948582,934.4942389119426,1.0228439033892092,0.10364514978929776
ωKA,0.063795629786,0.022030177164596786,0.0013006589925706185,304.52682419827045,522.2393758854416,1.0284094193086695,0.10417065971528827
