parameters,2.5%,25.0%,50.0%,75.0%,97.5%
logθKa,-1.9785866768868137,-1.1606486156148255,-0.7425076782342925,-0.38929323090480594,0.4000699175547521
logθKe,-2.924018093242034,-2.2177437064757357,-1.8733868922935772,-1.492843355548001,-0.7071558456751916
logθVd,3.5737289495639173,4.383760609769558,4.767832692059059,5.052536364135185,5.629615928076239
logθn,-0.07952964416419799,0.6034282839335572,0.8900276384348889,1.1536306437400274,1.6870727177130018
logθδ,-2.228534879856112,-1.617745589217169,-1.3383517552362925,-1.0793467504168164,-0.43823265958686053
logθc,0.9318609523011656,1.3944756461008643,1.5649059796516906,1.76774584688219,2.3720549119546526
logθEC50,-3.794049190838517,-3.0342554270161757,-2.6739925019939212,-2.3498129997374106,-1.6360725849796613
ω²Ka,0.027035329234659136,0.25888966879082276,0.5481908721800701,0.990028881852837,2.042400709064479
ω²Ke,0.027776932973325848,0.22276526174146982,0.495434865573958,0.9087195989291188,1.9330461580891218
ω²Vd,0.019994796453514083,0.16578230278295739,0.4070266521607031,0.8074397314835127,1.8987282781649828
ω²n,0.08872275055579758,0.3214671659653573,0.5856321465828609,1.0070226159652405,2.0301016213096506
ω²δ,0.17538880811323374,0.4535845307293821,0.7367214205310934,1.116792123440994,2.0926230449735685
ω²c,0.004875004533828161,0.06621486665748481,0.209066481937785,0.5329991926584083,1.609525514773432
ω²EC50,0.02348272413297254,0.23682085899631067,0.537981247543766,0.9757851958864271,2.0341749751955476
σ²PK,0.022599231673497287,0.031394620936358315,0.037678268214873564,0.04614385118755192,0.07044354253623346
σ²PD,0.02601231413442313,0.03868032032006312,0.04786596337313062,0.05994505413126441,0.09394930894985372
