parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
θ₁,2.4009558920405287,0.17363744981931564,0.0027454491426611495,0.00426497821239232,1607.852103786797,1.0023070466316308,0.00673548571663879
θ₂,3.095033191579079,0.18721552982810502,0.002960137438060017,0.004253408510630972,2139.293910834846,0.9998204407146828,0.00896175932238051
θ₃,3.37377325683998,0.2100565916803663,0.003321286336209667,0.003995100241709775,2792.6184883209817,1.0001909997853398,0.011698614503042354
θ₄,4.746436816982108,0.18795001898855587,0.0029717507313786647,0.0036594948909816805,2347.1755238839582,1.0011679963019537,0.00983260038552707
θ₅,0.5221872585886865,0.21511514049254954,0.0034012690157178586,0.004042071283922266,2646.1226038904742,1.0005881450847691,0.011084925635263946
θ₆,4.780321482890263,0.12932630606458403,0.0020448284427006624,0.0024384890225296768,3318.956613504842,1.0001579156799922,0.013903508172024001
θ₇,1.7201894795308843,0.13277412850540699,0.0020993433021048702,0.0022137501613011764,3593.0002735441817,0.9996340468901916,0.01505151000228136
θ₈,-8.05833384550731,0.1839176258508818,0.0029079929976972498,0.0037257011361395156,2717.099718556276,1.0007355837683698,0.011382257299609073
θ₉,-1.8946995132684676,0.08082065841173051,0.0012778868128775751,0.001183030432812655,5802.657949287828,1.0003468072247175,0.024308031593154072
θ₁₀,-2.2995169875278285,0.04595105046061738,0.0007265499016644013,0.0005735393452077273,4845.593980810441,0.9993448475999398,0.020298775596034165
θ₁₁,-2.241700242954873,0.062110533825355294,0.0009820537678852676,0.0007819255182741253,6081.569336904772,0.9996214314612191,0.02547642491930476
Ω₁,₁,0.1975255606220585,0.12910313909422058,0.0020412998630763234,0.0025462989422460267,2318.919566442231,1.000330146259368,0.009714232783612395
Ω₂,₁,-0.029385235575072662,0.09148421767904624,0.001446492489122145,0.0018836597773008255,2323.7546133513847,0.9997934615693367,0.009734487376257567
Ω₃,₁,-0.0010643842542455387,0.08907564634564627,0.0014084096325194817,0.002033893386043529,1768.532879294313,1.0029607857146463,0.007408596798074939
Ω₄,₁,0.0433499058069039,0.09240957132752965,0.001461123614973917,0.0019249328323139997,2488.621422712926,1.000010149097569,0.0104251342566436
Ω₅,₁,0.0005211610028077265,0.09058741687548529,0.0014323128233885358,0.0018622480693329768,1962.3623131111208,1.0007977991816377,0.008220571593432367
Ω₆,₁,-0.019298051118071435,0.07845489533517068,0.0012404808142462932,0.0013774454893337932,2678.4313170412092,1.0006070921754955,0.011220270717959818
Ω₇,₁,0.01706929826696148,0.08401825087374641,0.0013284451889223536,0.0020192692390853173,2020.5710893570495,1.0013178695945446,0.008464415153461358
Ω₈,₁,0.040045667165733365,0.08788068978137746,0.0013895157102791875,0.0017839382658764026,2247.821111132692,1.0014519007873703,0.009416392808726259
Ω₂,₂,0.22494047233605916,0.14699589018065098,0.0023242090982741855,0.003053206561752029,2154.1510912439,1.0019941215966435,0.009023997836855207
Ω₃,₂,-0.009223797279949774,0.0906514348353187,0.0014333250362096898,0.0018533592525135497,2086.510389069197,0.9999988946420995,0.008740642805451436
