parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
TVCL,4.116601274,0.11960447326141051,0.00971635076807901,157.54966048449288,335.140196027054,1.0266447995391763,0.04126428011294078
TVVC,73.77619312499999,2.7844940120992034,0.09567334520432,889.1377052796528,1709.6050686256651,1.003291609809593,0.23292054589968797
TVQ,3.6288130630000004,0.3762038292289958,0.010376351261890024,1340.2355530569116,2068.97572365461,1.0025596973226396,0.3495449192462982
TVVP,48.04399558499999,2.2725726234888413,0.06091410302491862,1413.645766558629,2618.644542432323,1.002231142176377,0.3694855532243476
TVKA,1.0843195821000002,0.04883285449538163,0.0009749207745797465,2526.1294313183585,2803.9275086374178,1.0011012968158675,0.6591307937899255
ωCL,0.309482319,0.02061696351724144,0.0010379168743921232,407.81832878189186,833.8997029072816,1.0074027597568063,0.10654930960594466
ωVC,0.34090793839999994,0.028196333867630163,0.0007486604411387628,1457.5993393992476,2255.0763720067353,1.0036893131730855,0.38100085134139167
ωQ,0.20374100586330002,0.09997556322345307,0.00454583336885914,491.45489449679565,597.5764891978947,1.0088748222232558,0.12850551218302683
ωVP,0.3062998248,0.03906596313231118,0.0012744007013593896,953.2348757379114,1932.9661302078644,1.002931756540496,0.24901725965947374
ωKA,0.254667200665,0.04665230645984832,0.002161810987695849,482.02732149243855,1048.8588411497863,1.0054003690514974,0.12611793656852116
σ,0.19890716085000001,0.0021856665397579056,2.8934267839955968e-5,5731.677992232017,2956.3736279422687,1.001405232380821,1.4968857455264415
