parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
TVCL,4.117790684668307,0.11580450060009713,0.008524702047205734,186.36401471688038,358.4379306711283,1.0216385974639646,0.012936850416475748
TVVC,70.54344171633925,7.745191022633636,2.0208210017568544,801.1837941908179,1296.58886355748,1.1125215238694353,0.06095614433821408
TVQ,3.7763485364449805,0.5304272164711438,0.08577600328973993,1353.7784672156426,1920.0486831470848,1.1100539900624653,0.10797741548679034
TVVP,50.08510523877858,5.369353205880226,1.294117654542492,1166.402521864432,2095.9075641112777,1.1082444717586355,0.08448058044477824
TVKA,1.035688822767056,0.12026947405187689,0.02943280098504487,2106.90569957003,2195.180867939648,1.1087360325049063,0.1644601067476122
σ,0.19888154093849025,0.002174951384251405,2.8079437636897218e-5,6031.803836332893,2855.580340481657,1.0016352891742981,0.43742151754570047
ωCL,0.3091081206126659,0.02043108332473889,0.0010347941369277052,405.14348006142666,850.8588248306125,1.0105140270742217,0.027356192115952367
ωVC,0.33696188453760784,0.032215452674855406,0.002531882544522521,1112.0060274768675,1704.4010671641947,1.035558258973912,0.08475794621522156
ωQ,0.20350609207126918,0.09748042428793764,0.004699986237830222,437.4021416277763,725.721329335086,1.0127612406136421,0.02991474730973225
ωVP,0.30358461575231005,0.040272901183301714,0.003178986162762204,746.6114973750451,1564.6904516108955,1.0724864248105257,0.06244034544345034
ωKA,0.2618158052487793,0.05130545744698826,0.005633592916399709,487.49002363317766,1033.7160309633005,1.098692318223549,0.039423959345200696
